,1,2,3,4,5,6,7,8,9
0,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
3,2015.01.26 00:00,t/p,1,0.10,1.11644,1.12844,1.11644,90.03,10090.03
6,2015.02.03 15:45,t/p,2,0.10,1.14219,1.13019,1.14219,90.00,10180.03
9,2015.02.03 20:23,t/p,3,0.10,1.15130,1.13930,1.15130,90.00,10270.03
12,2015.02.20 17:23,s/l,4,0.10,1.13428,1.13428,1.12228,-30.00,10240.03
15,2015.02.20 17:45,s/l,5,0.10,1.13721,1.13721,1.12521,-30.00,10210.03
18,2015.02.20 19:35,s/l,6,0.10,1.14013,1.14013,1.12813,-30.00,10180.03
21,2015.02.23 11:58,t/p,7,0.10,1.13109,1.14309,1.13109,90.03,10270.06
24,2015.04.24 16:59,s/l,8,0.10,1.08126,1.08126,1.09326,-30.00,10240.06
27,2015.04.27 18:12,t/p,9,0.10,1.09035,1.07835,1.09035,89.36,10329.42
30,2015.05.19 16:44,s/l,10,0.10,1.11620,1.11620,1.10420,-30.00,10299.42
33,2015.05.20 09:50,t/p,11,0.10,1.10713,1.11913,1.10713,90.03,10389.45
36,2015.06.23 18:33,s/l,12,0.10,1.11980,1.11980,1.10780,-30.00,10359.45
39,2015.06.24 11:32,s/l,13,0.10,1.12271,1.12271,1.11071,-29.97,10329.48
42,2015.08.19 20:49,s/l,14,0.10,1.11038,1.11038,1.09838,-29.97,10299.51
45,2015.11.06 15:30,t/p,15,0.10,1.08274,1.09474,1.08274,90.12,10389.62
48,2015.12.16 20:35,s/l,16,0.10,1.09558,1.09558,1.08358,-30.00,10359.62
51,2015.12.16 21:32,s/l,17,0.10,1.09849,1.09849,1.08649,-30.00,10329.62
54,2015.12.17 00:58,t/p,18,0.10,1.08945,1.10145,1.08945,90.09,10419.71
57,2016.03.03 16:00,s/l,19,0.10,1.09145,1.09145,1.07945,-29.86,10389.86
60,2016.03.04 15:31,s/l,20,0.10,1.09331,1.09331,1.10531,-30.00,10359.86
63,2016.03.04 15:35,s/l,21,0.10,1.09039,1.09039,1.10239,-30.00,10329.86
66,2016.03.04 16:00,t/p,22,0.10,1.09948,1.08748,1.09948,90.00,10419.86
69,2016.03.18 09:08,s/l,23,0.10,1.12884,1.12884,1.14084,-30.64,10389.22
72,2016.03.29 17:58,s/l,24,0.10,1.11852,1.11852,1.13052,-30.00,10359.22
75,2016.03.29 20:35,t/p,25,0.10,1.12761,1.11561,1.12761,90.00,10449.22
78,2016.04.06 16:23,s/l,26,0.10,1.13791,1.13791,1.12591,-30.00,10419.22
81,2016.04.15 17:20,s/l,27,0.10,1.13167,1.13167,1.11967,-29.88,10389.34
84,2016.04.26 15:35,s/l,28,0.10,1.13159,1.13159,1.11959,-29.94,10359.39
87,2016.06.02 16:38,s/l,29,0.10,1.11643,1.11643,1.12843,-30.00,10329.39
90,2016.06.14 12:19,t/p,30,0.10,1.12138,1.13338,1.12138,90.06,10419.45
93,2016.06.27 09:24,s/l,31,0.10,1.10416,1.10416,1.09216,-30.00,10389.45
96,2016.06.27 11:01,s/l,32,0.10,1.10707,1.10707,1.09507,-30.00,10359.45
99,2016.06.27 15:23,t/p,33,0.10,1.09798,1.10998,1.09798,90.00,10449.45
102,2016.10.27 19:37,s/l,34,0.10,1.08821,1.08821,1.10021,-31.91,10417.54
105,2016.11.09 04:02,s/l,35,0.10,1.10721,1.10721,1.09521,-29.97,10387.57
108,2016.11.11 04:35,s/l,36,0.10,1.09201,1.09201,1.08001,-29.97,10357.60
111,2016.12.12 09:25,s/l,37,0.10,1.05692,1.05692,1.04492,-29.97,10327.63
