,1,2,3,4,5,6,7,8,9
0,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
3,2019.01.02 07:20,s/l,1,1.00,1.14511,1.14511,1.14404,-57.00,999943.00
7,2019.01.02 07:50,t/p,2,1.00,1.14711,1.14611,1.14711,50.00,999993.00
8,2019.01.02 10:38,s/l,3,0.10,1.14336,1.14336,1.15336,-25.00,999968.00
11,2019.01.02 16:55,t/p,4,0.10,1.13620,1.14620,1.13620,75.00,1000043.00
14,2019.01.03 10:40,s/l,5,0.10,1.13825,1.13825,1.12825,-24.91,1000018.09
17,2019.01.03 13:07,s/l,6,0.10,1.13591,1.13591,1.14591,-25.00,999993.09
20,2019.01.03 17:01,s/l,7,0.10,1.13749,1.13749,1.12749,-25.00,999968.09
23,2019.01.04 15:40,s/l,8,0.10,1.13741,1.13741,1.14741,-25.64,999942.45
26,2019.01.07 10:01,t/p,9,0.10,1.14387,1.13387,1.14387,74.36,1000016.81
29,2019.01.09 16:40,t/p,10,0.10,1.15148,1.14148,1.15148,73.73,1000090.54
32,2019.01.10 20:25,s/l,11,0.10,1.14860,1.14860,1.15860,-26.91,1000063.63
35,2019.01.11 02:01,s/l,12,0.10,1.15153,1.15153,1.14153,-24.97,1000038.66
38,2019.01.11 12:55,s/l,13,0.10,1.15405,1.15405,1.14405,-25.00,1000013.66
41,2019.01.11 16:10,s/l,14,0.10,1.15019,1.15019,1.16019,-25.00,999988.66
44,2019.01.11 16:52,s/l,15,0.10,1.14683,1.14683,1.15683,-25.00,999963.66
47,2019.01.15 18:37,t/p,16,0.10,1.13921,1.14921,1.13921,75.06,1000038.72
50,2019.01.22 16:08,t/p,17,0.10,1.13379,1.14379,1.13379,75.20,1000113.92
53,2019.01.23 17:35,s/l,18,0.10,1.13809,1.13809,1.12809,-24.97,1000088.95
56,2019.01.24 10:22,s/l,19,0.10,1.13574,1.13574,1.14574,-26.91,1000062.04
59,2019.01.24 10:40,s/l,20,0.10,1.13757,1.13757,1.12757,-25.00,1000037.04
62,2019.01.24 19:37,t/p,21,0.10,1.13011,1.14011,1.13011,75.00,1000112.04
65,2019.01.25 04:55,s/l,22,0.10,1.13207,1.13207,1.12207,-24.97,1000087.07
